,Date of Creation,Content,hashtags,User
1283,2023-04-09 23:09:48+00:00,@Arsenal @AaronRamsdale98 MASTER CLASS 🙌,N/A,iKhanworld
1284,2023-04-09 23:09:45+00:00,@mufczaid It's good to see that we are signing players early in time for friendlies. Antony's first game was against arsenal and people were wondering why he wasn't adapting,N/A,MUFC_Saidhno
1285,2023-04-09 23:09:41+00:00,"@philmcnulty Sorry Phil , that's bollix,  Liverpool had 2 chances very similar to the one salah took b4 the so called xhaka incident,  the second half was always coming towards the kop , arsenal had problems getting saka and odegaard involved and weren't as fluid",N/A,gergav36
1286,2023-04-09 23:09:36+00:00,"@bookiesnitmare With this i can start up perfume business bro

It will go a very long way pls
So i can meet up ends meet since my jewelry business hasn’t been moving for couple of months now 
God bless you 🙏",N/A,ArsenalBabygirl
1287,2023-04-09 23:09:36+00:00,Arsenal blow 2-0 lead against Liverpool after Granit Xhaka angers Anfield https://t.co/wEgR8SdtOF,N/A,Kai07432942
1288,2023-04-09 23:09:34+00:00,@HelenORahilly And Arsenal might even win the league! 🤞,N/A,DublinKev
1289,2023-04-09 23:09:32+00:00,Arsenal will be 6 points behind City by the end of the season,N/A,heisdera_
1290,2023-04-09 23:09:27+00:00,"@FansTribeHQ Arsenal is gonna win the league still and Liverpool will play in conference league next season.... City came to anfield and lost, United came and swallow 7. Arsenal drew there, so automatically Arsenal are the bad side that can't win games. E go shock una by May",N/A,BwoyFinex
1291,2023-04-09 23:09:25+00:00,@ars_informer Arteta subbing Odegaard out when Xhaka was on a yellow was when Arsenal lost the 2 points,N/A,savage_tkloe
1292,2023-04-09 23:09:22+00:00,"@jadesolar_01 @doubledeltaB You be olosho abi you no be olosho, stop writing epistle 🌚",N/A,arsenalbabe_
1293,2023-04-09 23:09:17+00:00,@ArsenalAnoop Tells what? Liverpool are 10x bigger club than Arsenal that's not even up for debate.,N/A,DP93EZ
1294,2023-04-09 23:09:16+00:00,Also a result that guarantees that Arsenal finish above Liverpool in the league for the first time in 7 years.,N/A,Max_Rxdwan
1295,2023-04-09 23:09:16+00:00,I #VoteBassi for @MLS Player of the Matchday!,['VoteBassi'],MunchKi28729127
1296,2023-04-09 23:09:14+00:00,"@mikekariungi Arsenal fans always running mouth 😂😂
In the end you were begging for a draw",N/A,Rossjat
1297,2023-04-09 23:09:14+00:00,"Upcoming tune for every hustler out there 
#daterush Happy Easter Clippers Asana Izzy #UFC287 Marseilles Warriors Thor Liverpool Arsenal Suns Klay Pelicans Lampard Villareal Xhaka Bryan Acheampong Gallagher Lebron Chelsea https://t.co/1MfJV3oZIA","['daterush', 'UFC287']",kwasi_mawuko
1298,2023-04-09 23:09:13+00:00,"@WelBeast Arsenal fans, if you play against them defensively and park the bus, they will say that you are weak and afraid,And if you play against them offensively, they will tell you what you are fighting for, man💀💀",N/A,NCR_RMC
1299,2023-04-09 23:09:12+00:00,"@Arsenal Arteta bottled the game😣 zichenko should have been out since 60 mins, anyways a point is something at Anfield.",N/A,hartabaku
1300,2023-04-09 23:09:11+00:00,Liverpool v Arsenal. What. A. GAME. OF. FOOTBALL!!! 👏🏽👏🏽,N/A,Kermanjasavala
1301,2023-04-09 23:09:06+00:00,Old xhaka would have got sent off here… to say this specific moment turned the game around and made Arsenal forget how to play football. No,N/A,Dr_Clawson
1302,2023-04-09 23:09:06+00:00,"@Perryburner_ @TopcyKash @PeakSanti The last 30 sec Arsenal could have won it with the right pass 
Would have been epic",N/A,Niku39927080
1303,2023-04-09 23:08:57+00:00,"That challenge, asserting himself into the TAA/Xhaka situation and then acting like a bodyguard to TAA when a few Arsenal players started. Man's a colossus.",N/A,OnTheAleAgain
1304,2023-04-09 23:08:57+00:00,@Franci29_ Unbelievable player if he can maintain a steady stream of goals.,N/A,MoArsenal86
1305,2023-04-09 23:08:57+00:00,"@mattprice170 @SMXLFC Missed pen vs Bournemouth 
Missed pen vs Arsenal",N/A,luka_modirx1
1306,2023-04-09 23:08:57+00:00,"@premierleague Still looks like an Arsenal title lift...
https://t.co/lnP2HWDR3R",N/A,daviemaniaa
1307,2023-04-09 23:08:56+00:00,@Arsenal @Darealmayabanks @AaronRamsdale98 Splendid,N/A,TaabuEdwin
1308,2023-04-09 23:08:56+00:00,"Clutching at straws, they’ve been starved of joy",N/A,afcphotos_
1309,2023-04-09 23:08:56+00:00,@rutie_xx Arsenal,N/A,nissi_nengi
1310,2023-04-09 23:08:55+00:00,True. Liverpool and man city disgust me different. Arsenal/ Chelsea &gt;&gt;&gt;&gt;,N/A,mysticflow_
1311,2023-04-09 23:08:54+00:00,@Rory_Talks_Ball Ref. against Arsenal,N/A,diledhub
1312,2023-04-09 23:08:50+00:00,@Arsenal Our coach cost us today's match,N/A,Stpeter14
1313,2023-04-09 23:08:49+00:00,@GEAfolayan Sir leave the statistics...Pick one student's  from Vivian Fowler and one from okada  grammar school .the difference is five alive,N/A,IgbayilolaAyeni
1314,2023-04-09 23:08:48+00:00,"@abdlBasitt Buckle up as how
Makw dem continue
I just don't want to hear ""arsenal fans are unbearable"" ""and they are doing too much"" when we're celebrating oo",N/A,Ola_kanfari
1315,2023-04-09 23:08:42+00:00,"@Realthang96 @DingoAfc @DenReus11 @ltarsenal He didn't say anything about winning? He simply stated teams always up their game when they play Arsenal. 

Your last trophy was fa cup 21/22. Our last trophy was fa cup 19/20. Not much of a difference so grow up",N/A,hamdod96
1316,2023-04-09 23:08:35+00:00,@leahsloverr Gal you should really just go for it at this point x,N/A,mvjhbl
1317,2023-04-09 23:08:34+00:00,"Liverpool against Arsenal, Firmino always there no matter what😭😭",N/A,gbedemah12
1318,2023-04-09 23:08:34+00:00,@TheArsenalFTW @arseblog You should rename your account Arsenal Pessimist,N/A,CelPoliceNA
1319,2023-04-09 23:08:33+00:00,@cypherwells @shropshire_spur @talkSPORT @IanDarke @SkySportsNews @laura_woodsy @Sjopinion10 @henrywinter @Carra23 @GNev2 @DarrenBent Kane has never gone down easy has he?,N/A,TheArsenalHub_
1320,2023-04-09 23:08:30+00:00,@cmbftbl I don’t get why they always lie on Zinchenko.,N/A,MoArsenal86
1321,2023-04-09 23:08:30+00:00,"https://t.co/1lYUhucU7F
HIGHLIGHTS | Liverpool 2-2 Arsenal LIVE Watchalong | ThinkLFCTV 
Subscribe &amp; Share! #ThinkLFCTV 
#LFC #YNWA #EPL #LIVARS","['ThinkLFCTV', 'LFC', 'YNWA', 'EPL', 'LIVARS']",ThinkLFCTV
1322,2023-04-09 23:08:29+00:00,"@craigatkinslfc @Arsenal Thanks mate, sure hope your season ends on a high too.",N/A,EhisGerald
1323,2023-04-09 23:08:29+00:00,"@YankeeGunner @RyanGee437 Or, City still need to beat this Arsenal team who only need to match results and draw with City to win the title. Show faith in your squad, City has all the pressure to put points on the board",N/A,OneDubsNation
1324,2023-04-09 23:08:26+00:00,@OllieFirth8 @afcstuff This title winning stuff arnt built for ppl like you. Do you know a thing about arsenal? No. Tell me about The Arsenal? Don’t have a scooby. If you want to win you win. Tell Vieira. Tell Adams. Tell McLintock. Ask them about WINNING. Ask them about excuses. They won’t know. Melt,N/A,9fenningstB
1325,2023-04-09 23:08:19+00:00,"Those fan of Arsenal if they take
Premier league this time 
They will also disturbing the social media 😆😆😆😆😆😆😆😆
Please man City its your chance 
They're near to remove their own shirts &amp;Jersey 👕 https://t.co/fnlJl23srj",N/A,MataiSebit57483
1326,2023-04-09 23:08:18+00:00,@AlanTho91859876 @talkSPORT For Arsenal collapsing and losing the title to the champions,N/A,Dylan32090771
1327,2023-04-09 23:08:16+00:00,"@dlmjnk Surely the reason we did that tactic was 2 fold
Firstly to combat Zinchenko doing the same for Arsenal and secondly to try and out number them in midfield
I wasn't bothered by that change at all today",N/A,Simon_Roberts72
1328,2023-04-09 23:08:16+00:00,@haz_afc Get lost! You have only rubbish to say,N/A,arsenalbabe_
1329,2023-04-09 23:08:14+00:00,@premierleague Looks like man city going to win the league....but i still have faith in arsenal,N/A,Dhanyhmsi
1330,2023-04-09 23:08:13+00:00,"Oh, while I remember…..that minutes silence today was probably the most well respected I’ve ever heard. Fair play to the arsenal fans for that. Forget about the match…..they showed a lot of class there! X",N/A,mickormikew
1331,2023-04-09 23:08:10+00:00,The Xhaka narrative is bollocks. As is this idea that you have to tip toe quietly around the game so not to wake the Anfield crowd. It’s a football match - something is likely to happen that will  stir a crowd.,N/A,TheArsenal_
1332,2023-04-09 23:08:09+00:00,"@JerseyFinFan They can threaten whatever.  Then we pull back our manufacturing, stop buying their shit, stop protecting their stuff, and we will see.  We are the largest consuming force in the world (that’s good and bad) and with that comes the power in a capitalistic world. Plus, our military",N/A,ArsenalGreek13
1333,2023-04-09 23:08:04+00:00,@Arsenal @AaronRamsdale98 Brill,N/A,k_mangwende
1334,2023-04-09 23:08:03+00:00,@Katieorion @Arsenal Going to Anfield has always been a nightmare. I'm really glad we got a point. Onto the next one boyz👏👏,N/A,kayman1919
1335,2023-04-09 23:08:01+00:00,"@PeakSanti Arsenal hasn't lost a game where Partey has played.
City playing 4 games in 2 weeks before the meeting on 26th
Arsenal 2 games in that period

Arsenal 5 days rest, City 4 days rest before the 26th

Arsenal just needs a draw.
That will be most important game.
Draw at united.",N/A,Niku39927080
1336,2023-04-09 23:07:59+00:00,It was supposed to be a happy ending but Arsenal bottled it big time 😂 https://t.co/zSdsBtJoXv,N/A,StarBwoy__23
1337,2023-04-09 23:07:58+00:00,@IanM_1970 I don’t know if arsenal played well we were awful made it look like their did didn’t have to work for any of the goals,N/A,ahmir431
1338,2023-04-09 23:07:54+00:00,@AlgerianFooty arsenal will draw with city and win the title with 1 point ahead  ...  just record,N/A,egyleopard
