,Date of Creation,Content,hashtags,User
815,2023-03-19 23:13:57+00:00,She has made me love arsenal like it was in my DNA will never forget this great club Bcs of her 🙏💯 https://t.co/TG2yDFD9VC,N/A,AbusKhalifa
816,2023-03-19 23:13:55+00:00,@Raheil_m94 @StoolFootball Dude Di maria pulled the Jersey of the referee against arsenal and was given a straight red card. Stop spewing rubbish,N/A,ovoshedy
817,2023-03-19 23:13:54+00:00,Against arsenal it was a good goal,N/A,kikuyu_duke
818,2023-03-19 23:13:52+00:00,"Holy smokes #ChelseaFC have 9 games in 29 days when they return from international break. 
Villa
Liverpool 
@ Wolves
@ Real Madrid
Brighton
Real Madrid
@ Man U
Brentford
@ Arsenal

#KTBFFH 

@chelseafc @ChelseaFCinUSA","['ChelseaFC', 'KTBFFH']",tylercoward
819,2023-03-19 23:13:48+00:00,"Dani Ceballos had some really nice actions tonight - touch is always secure and evades pressure so so well.

Been a big fan of him for a few years now: was in love with his signature turn he showcased at Arsenal. 

Manchester Utd are in desperate need for someone of his profile. https://t.co/pTMciIMvsx",N/A,1818Calum
820,2023-03-19 23:13:40+00:00,I #VoteQuioto for @MLS Player of the Matchday!,['VoteQuioto'],LucdeLaGauche
821,2023-03-19 23:13:35+00:00,"When arsenal fans are making sounds like this, you know it's bad for us. But I guess we all just love our teams like the next person when it really boils down to it.",N/A,HBfooty
822,2023-03-19 23:13:34+00:00,@Arsenal Amazing,N/A,Bruce2Ndikumana
823,2023-03-19 23:13:33+00:00,@Corballyred Go and support Arsenal then you weird attention seeking man!,N/A,jonnylonglegs80
824,2023-03-19 23:13:31+00:00,@FPLBobby1 I WC’d + going straight Arsenal across the midfield spared me from disaster.,N/A,Panglossus
825,2023-03-19 23:13:28+00:00,@ltarsenal Or Arsenal need to win there next game and have 10 games left.,N/A,KieranGunner93
